Reference, Value, Footprint, Datasheet
U4,DSPIC33EP256MU806,hexabot:QFN-64-1EP_9x9mm_Pitch0.5mm,
D4,LEDR,Resistors_SMD:R_0805,
D5,LEDY,Resistors_SMD:R_0805,
D6,LEDG,Resistors_SMD:R_0805,
R19,470R,Resistors_SMD:R_0805,
R20,470R,Resistors_SMD:R_0805,
R21,470R,Resistors_SMD:R_0805,
Y1,8M,hexabot:XTAL_5x3.2,http://www.abracon.com/Resonators/abm3b.pdf
R8,1M,Resistors_SMD:R_0805,
C7,18p,Resistors_SMD:R_0805,
C8,18p,Resistors_SMD:R_0805,
P6,PICKIT,Pin_Headers:Pin_Header_Straight_1x05,
P11,USB_B,hexabot:MICRO-B_USB,
JP3,JUMPER,Pin_Headers:Pin_Header_Straight_1x02,
LOGO1,OPEN_HARDWARE_1,Symbols:Symbol_OSHW-Logo_SilkScreen,
P13,NC,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_5pin_straight,
C12,100n,Resistors_SMD:R_0805,
C13,100n,Resistors_SMD:R_0805,
C14,100n,Resistors_SMD:R_0805,
C15,100n,Resistors_SMD:R_0805,
R4,330R,Resistors_SMD:R_0805,
R1,4K7,Resistors_SMD:R_0805,
C3,100n,Resistors_SMD:R_0805,
C10,10u,Resistors_SMD:R_0805,
R18,0R,Resistors_SMD:R_0805,
C11,100n,Resistors_SMD:R_0805,
P3,SERVO1,Pin_Headers:Pin_Header_Straight_1x03,
Q1,Q_NMOS_GSD,Housings_SOT-23_SOT-143_TSOT-6:SOT-23,
R17,0R,Resistors_SMD:R_0805,
P8,NC,Pin_Headers:Pin_Header_Straight_1x06,
P20,ENC4,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_4pin_straight,
P19,ENC3,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_4pin_straight,
P18,ENC2,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_4pin_straight,
P17,ENC1,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_4pin_straight,
P16,UART1_5V,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_4pin_straight,
P21,UART2_FTDI3V3,Pin_Headers:Pin_Header_Straight_1x06,
Q4,Q_NMOS_GSD,Housings_SOT-23_SOT-143_TSOT-6:SOT-23,
R28,1k,Resistors_SMD:R_0805,
JP1,JUMPER,Pin_Headers:Pin_Header_Straight_1x02,
MH3,HOLE_M3,hexabot:M3-hole-plated,
MH2,HOLE_M3,hexabot:M3-hole-plated,
MH4,HOLE_M3,hexabot:M3-hole-plated,
MH1,HOLE_M3,hexabot:M3-hole-plated,
SW1,PUSH1,hexabot:SW_PUSH-SMD,
SW2,PUSH2,hexabot:SW_PUSH-SMD,
P12,DEBUG,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_5pin_straight,
P1,BATTERY,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM3-96mm_Lock_2pin_straight,
R2,21k,Resistors_SMD:R_0805,
U1,PTN78020 +5V,hexabot:PTN78020H,
C1,2u2,Resistors_SMD:R_0805,
C4,330u,hexabot:c_elec_8x10.5,
R3,7k52,Resistors_SMD:R_0805,
U3,MCP1727,hexabot:SOIC-8_3.9x4.9mm_Pitch1.27mm,
U2,PTN78020 SERVO,hexabot:PTN78020H,
C2,2u2,Resistors_SMD:R_0805,
C5,330u,hexabot:c_elec_10x10.5,
C6,4u7,Resistors_SMD:R_0805,
C9,4u7,Resistors_SMD:R_0805,
R5,10k,Resistors_SMD:R_0805,
P4,SERVO2,Pin_Headers:Pin_Header_Straight_1x03,
Q2,Q_NMOS_GSD,Housings_SOT-23_SOT-143_TSOT-6:SOT-23,
R6,10k,Resistors_SMD:R_0805,
P5,DYNAMIXEL1,hexabot:molex-22-03-5035,
Q3,Q_NMOS_GSD,Housings_SOT-23_SOT-143_TSOT-6:SOT-23,
P14,MOTOR_R,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM3-96mm_Lock_2pin_straight,
P15,MOTOR_L,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM3-96mm_Lock_2pin_straight,
R27,10k,Resistors_SMD:R_0805,
R26,10k,Resistors_SMD:R_0805,
P22,NC,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_6pin_straight,
D7,LEDB,Resistors_SMD:R_0805,
R22,10k,Resistors_SMD:R_0805,
D8,LEDB,Resistors_SMD:R_0805,
R23,2k,Resistors_SMD:R_0805,
D10,LEDB,Resistors_SMD:R_0805,
R25,470R,Resistors_SMD:R_0805,
D9,LEDB,Resistors_SMD:R_0805,
R24,1k,Resistors_SMD:R_0805,
P7,PANIC BUTTON,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM3-96mm_Lock_2pin_straight,
D1,D,hexabot:SOD-128,
P2,EXT_POWER,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM3-96mm_Lock_2pin_straight,
JP2,JUMPER,Pin_Headers:Pin_Header_Straight_1x02,
R7,10k,Resistors_SMD:R_0805,
F1,FUSE,Resistors_SMD:R_1206_HandSoldering,
R13,NC,Resistors_SMD:R_0805,
R14,NC,Resistors_SMD:R_0805,
R15,NC,Resistors_SMD:R_0805,
R16,1k,Resistors_SMD:R_0805,
R12,9k,Resistors_SMD:R_0805,
R11,NC,Resistors_SMD:R_0805,
R10,NC,Resistors_SMD:R_0805,
R9,NC,Resistors_SMD:R_0805,
P9,BUMP1,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_2pin_straight,
P10,BUMP2,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_2pin_straight,
C26,NC,Resistors_SMD:R_0805,
P23,START,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_2pin_straight,
R35,1k,Resistors_SMD:R_0805,
D3,ZENER,Diodes_SMD:SOD-323,
P24,DYNAMIXEL2,hexabot:molex-22-03-5035,
D2,ZENER,Diodes_SMD:SOD-323,
P25,NC,Pin_Headers:Pin_Header_Straight_1x01,
P26,NC,Pin_Headers:Pin_Header_Straight_1x01,
